"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"281","NM_001005885",1,2,4,2,1,1,2,3,7
"282","NM_198775",4,0,1,1,4,1,0,1,2
"283","NM_053366",987,939,903,866,1046,939,1547,1896,2243
"284","NM_001191602",205,161,190,127,134,140,132,200,243
"285","NM_001108494",428,397,429,469,610,492,362,460,427
"286","NM_001107539",714,826,563,454,824,794,757,921,768
"287","NM_031079",0,0,0,0,0,0,0,0,0
"288","NM_001270604",2,0,0,1,0,0,6,0,1
"289","NM_001143847",0,0,0,0,0,0,0,0,0
"290","NM_031074",2079,2063,1770,1732,1239,1058,1253,1597,1691
"291","NM_001107540",182,173,160,150,185,188,205,304,321
"292","NM_001108496",459,438,413,512,540,531,553,609,619
"293","NM_001000136",0,0,0,0,0,0,0,0,0
"294","NM_033234",2095,2868,3624,2409,4562,2488,1226,1098,1164
"295","NM_001001037",0,0,0,0,0,0,0,0,0
"296","NM_053324",0,1,3,1,4,5,2,2,1
"297","NM_001100582",508,620,527,889,1198,854,544,449,415
"298","NM_001000947",0,0,0,0,0,0,0,0,0
"299","NM_001106290",1263,1323,1293,820,837,765,817,2033,2226
"300","NM_001107547",621,649,574,835,842,766,713,650,567
"301","NM_001134970",472,518,510,488,575,437,529,700,702
"302","NM_031544",8,12,13,19,18,13,3,9,25
"303","NM_001105210",0,0,2,1,1,2,3,2,0
"304","NM_001106288",344,363,351,520,546,474,596,732,829
"305","NM_001105211",0,0,0,0,0,0,0,0,0
"306","NM_001079884",35,29,42,35,68,58,57,76,70
"307","NM_001139508",196,222,213,269,420,383,308,284,418
"308","NM_001198589",75,51,74,97,109,80,78,136,139
"309","NM_020656",235,254,244,269,355,275,316,324,364
"310","NM_001014022",67,73,59,58,54,57,81,108,125
"311","NM_017229",801,923,644,921,958,746,699,897,803
"312","NM_001106285",126,177,161,162,280,230,172,120,177
"313","NM_080781",1333,1352,1218,1497,1690,1519,1707,2610,2660
"314","NM_001013434",177,164,145,221,198,207,236,368,493
"315","NM_001108500",445,466,548,436,498,419,391,466,476
"316","NM_001108501",66,74,68,42,55,48,33,81,82
"317","NM_181695",3,2,0,2,4,1,4,2,1
"318","NM_017082",0,0,1,0,0,0,0,1,0
"319","NM_001079706",26,34,30,35,27,13,31,19,32
"320","NM_144748",350,519,414,229,68,504,952,715,802
"321","NM_001106293",0,0,0,0,0,0,0,0,0
"322","NM_181370",0,0,0,0,0,0,0,0,0
"323","NM_017100",26,23,11,8,17,9,49,18,87
"324","NM_001107548",94,76,71,30,26,34,66,80,92
"325","NM_001159493",63,64,68,44,36,44,54,58,70
"326","NM_001270693",0,0,0,0,0,0,0,0,0
"327","NM_001270692",0,0,0,0,0,0,0,0,0
"328","NM_080691",0,0,0,0,0,0,0,0,0
"329","NM_022244",0,0,0,0,0,0,0,0,0
"330","NM_001270694",0,0,0,0,0,0,0,0,0
"331","NM_001134574",202,225,208,228,270,245,266,304,357
"332","NM_001011935",891,821,825,804,1012,985,1053,1053,1299
"333","NM_001012469",10,10,7,15,17,26,10,18,22
"334","NM_001009645",61,28,27,17,44,24,45,29,120
"335","NM_001109154",14,9,12,41,20,33,20,12,34
"336","NM_198736",39,42,34,24,41,35,47,71,84
"337","NM_001109156",183,217,202,130,174,177,140,111,118
