"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_031318",156.741149354181,1.04625347386951,0.301454606297231,7.04619551641801e-05,0.000542660747900728
"NM_017051",4696.65959808205,0.281364205027508,0.0945165061002095,0.0023084262384927,0.010155966517628
"NM_053491",83776.1315862057,-1.53087176924988,0.368381273507063,2.53632057294674e-06,3.13192843782974e-05
"NM_133561",4174.225554195,-0.720729515693603,0.270995547956047,0.00195603446662453,0.00882463825459916
"NM_032063",172.466739457928,-2.31357903037765,0.322495843339529,4.74619384756117e-14,3.62226877671509e-12
"NM_053590",3813.50100330442,0.46155763123756,0.102434423990768,3.55621787853874e-06,4.15332991340497e-05
"NM_001108903",107.361111076893,-1.61007187469774,0.289186221759047,2.23175638539177e-09,6.4206813286533e-08
"NM_001009687",441.949433485676,0.568021415273624,0.180632011853783,0.000648779817792755,0.00347301032515459
"NM_001106218",215.645013413262,-0.492897837321276,0.221191600830011,0.0112955284390965,0.0364682307713486
"NM_183332",1884.1322693331,0.36651027659876,0.155529336974729,0.0117762252831787,0.0375676969120852
"NM_001191620",112.751278748244,0.564692316592353,0.234877762346207,0.00590566159314298,0.0217504091516894
"NM_001304816",1293.58151946303,0.874865420128203,0.243843943227303,6.28067608707194e-05,0.000494445775049574
"NM_001166675",94.360998715058,0.956900352923621,0.283975667512229,0.000118120318626842,0.000832676267933929
